elapsed_seconds,ram_mb,disk_mb
0.0003311634063720703,37.64453125,0.7332735061645508
1.004401683807373,40.0390625,0.7332735061645508
2.0076074600219727,41.0390625,0.7332735061645508
3.010643720626831,41.6640625,0.7332735061645508
4.013211250305176,41.9140625,0.7332735061645508
5.01476263999939,42.0390625,0.7332735061645508
6.017273902893066,42.2890625,0.7332735061645508
7.0196545124053955,40.04296875,0.7332735061645508
8.022493600845337,40.04296875,0.7332735061645508
9.025140285491943,40.04296875,0.7332735061645508
10.026273250579834,40.04296875,0.7332735061645508
11.029121398925781,40.66796875,0.7332735061645508
